date,1-7_a,10-15_a,10-4_a,10-5_a,10-6_a,11-12_a,11-13_a,11-7_a,12-14_a,13-12_a,13-14_a,14-15_a,14-9_a,15-10-1_a,15-10-2_a,15-16_a,15-17_a,15-6_a,16-15_a,17-16_a,17-18_a,19-18_a,2-3_a,20-15_a,20-17-1_a,20-17-2_a,20-19_a,21-11_a,21-13_a,21-14_a,21-15_a,21-20_a,23-21_a,23-22_a,24-23_a,5-6_a,6-5-1_a,6-5-2_a,7-2_a,7-8_a,8-2_a,8-9_a,9-10_a,9-3_a,sea_a
2016/11/5,-9798700,-69800000,13600000,20100000,-2190000,220000000,-77000000,24160000,-36500000,-248000000,-103600000,-335000000,197700000,-55800000,-128200000,39620000,88700000,13160000,15260000,-14610000,-10300000,28800000,11520000,22200000,31880000,-131200000,50900000,185000000,-266000000,16900000,340000000,3900000,310700000,1806300,320500000,23450000,8630000,15900000,101000,1860000,14420000,-31510000,156600000,-2030000,339600000
2016/11/6,-19242300,-58500000,24100000,22000000,5970000,266700000,-118700000,44520000,-9100000,-261000000,-36100000,-218000000,206900000,-32900000,-104100000,56860000,68100000,21010000,16949000,-23240000,12900000,19900000,11570000,23300000,47810000,-102600000,57500000,220000000,-168000000,55500000,269000000,73200000,496400000,3406760,513500000,27980000,20410000,16690000,837000,4900000,16650000,-38650000,147100000,4180000,543400000
2016/11/7,-35615070,-47700000,33700000,25300000,11360000,283100000,-105300000,76510000,23900000,-239000000,17600000,-129000000,209500000,-17800000,-79400000,74810000,80900000,27580000,18569000,-30890000,34400000,16400000,12490000,22800000,60010000,-106600000,77700000,286000000,-103000000,64000000,248000000,115900000,668900000,5938530,692600000,32050000,27980000,15750000,3067000,11190000,20740000,-40480000,139000000,10270000,729700000
2016/11/8,-49304530,-47700000,41500000,29400000,12900000,236900000,-95600000,94310000,35400000,-180000000,-22100000,-117000000,219500000,-10100000,-65400000,77810000,97900000,32820000,25773000,-21230000,42900000,18900000,14380000,24300000,62750000,-106800000,94200000,269000000,-93000000,116100000,276000000,144300000,774200000,8183240,802300000,36130000,30810000,17660000,6194000,7860000,28830000,-53900000,131700000,12760000,840900000
2016/11/9,-45953700,-55500000,37300000,31100000,8670000,235900000,129800000,88960000,22700000,-194000000,-34400000,-183000000,223300000,-19800000,-77500000,77040000,120100000,29140000,30187000,-19410000,27600000,27900000,18330000,24600000,48580000,-132300000,95400000,485000000,-346000000,75600000,338000000,98300000,702500000,7209370,729000000,34210000,22700000,19330000,6976000,8260000,32290000,-53840000,136800000,13250000,761900000
2016/11/10,-17661500,-69200000,7400000,24200000,-3260000,217000000,127400000,25420000,-25100000,-233000000,-132700000,-329000000,179300000,-56400000,-121700000,52940000,108500000,7610000,22670000,-16530000,-4200000,30900000,8570000,28800000,27930000,-143400000,63100000,386000000,-487000000,18800000,351000000,8500000,300700000,3846900,318200000,19780000,-1860000,12890000,2218000,-6560000,14790000,-33740000,145900000,-9510000,336000000
2016/11/11,14991000,-108000000,-52500000,18800000,-19690000,130000000,226300000,-50150000,-109900000,-246000000,-203000000,-596000000,101700000,-110400000,-197600000,11750000,79000000,-27520000,11364000,-8640000,-55700000,37700000,-1460000,55600000,-4110000,-149300000,16800000,296000000,-678000000,-188800000,383000000,-100000000,-306200000,-1461400,-306300000,1970000,-38220000,5360000,-4843000,-21030000,-6080000,-2750000,139900000,-34330000,-309300000
2016/11/12,62385800,-157200000,-91800000,19200000,-35060000,59200000,403900000,-115900000,-187900000,-263000000,-170300000,-750000000,49000000,-162900000,-255700000,12380000,73800000,-66930000,9034000,-25240000,-118500000,55600000,2240000,82900000,-42640000,-199900000,-26000000,321000000,-847000000,-361900000,395000000,-237900000,-772400000,-4619100,-786200000,-17740000,-82060000,-2760000,-9515000,-16830000,-13580000,24610000,137800000,-47590000,-807700000
2016/11/13,53793700,-204300000,-92900000,24400000,-43720000,1500000,424700000,-119640000,-256100000,-282000000,-139500000,-684000000,48000000,-183500000,-303200000,78980000,134300000,-81140000,14012000,-101790000,-151300000,83300000,10070000,47900000,-67730000,-355600000,-1300000,269000000,-861000000,-268900000,440000000,-456400000,-945300000,-10570450,-975900000,-21260000,-100780000,-3250000,-6518000,-23110000,-5590000,21960000,147500000,-53310000,-1017900000
2016/11/14,34301300,-222300000,-75800000,39300000,-45450000,202800000,1026100000,-77200000,-261900000,-494000000,-25700000,-1009000000,86400000,-210800000,-348600000,-57010000,190600000,-80530000,4313000,24400000,-177400000,109700000,15910000,91300000,-80400000,-310100000,32900000,1103000000,-1566000000,-673900000,587000000,-359400000,-995300000,-9002550,-1034200000,-13250000,-103300000,-3510000,-468000,-4250000,3330000,48570000,225300000,-56760000,-1091000000
2016/11/15,18757100,-224500000,-46700000,54200000,-38520000,181000000,615200000,-40800000,-298300000,-502000000,-23600000,-987000000,166300000,-194200000,-353100000,-2450000,210100000,-63910000,9811000,-13360000,-183000000,131600000,24420000,92700000,-86990000,-358300000,70100000,711000000,-1161000000,-535100000,666000000,-368100000,-765300000,-5100700,-799700000,2370000,-88200000,5640000,2620000,3280000,19050000,23610000,264900000,-47110000,-850800000
2016/11/16,4281600,-216700000,-13300000,49300000,-29130000,397600000,569600000,5940000,-236800000,-643000000,36300000,-818000000,252400000,-183300000,-331300000,-28170000,342900000,-28460000,17004000,36310000,-173000000,169700000,25540000,32200000,-54490000,-432900000,167000000,954000000,-1184000000,-379200000,742000000,-309800000,-211400000,-1798500,-230900000,15390000,-49400000,11150000,2597000,17070000,23040000,3570000,295800000,-30980000,-265200000
2016/11/17,685600,-198700000,-5700000,39200000,-22130000,169800000,760000000,2910000,-190100000,-360000000,-120200000,-722000000,255000000,-146400000,-291400000,56790000,340200000,-13940000,31481000,-25830000,-140800000,140300000,24950000,-10300000,-48480000,-458700000,140200000,932000000,-1241000000,-158000000,845000000,-379700000,-3300000,-330900,-8400000,19330000,-31800000,14620000,1335000,2690000,23920000,-27210000,250500000,-23790000,-13700000
2016/11/18,-6240500,-168000000,7600000,40800000,-16040000,274600000,517000000,39760000,-196400000,-465000000,-2600000,-730000000,267800000,-132900000,-254200000,36910000,271200000,-5560000,24276000,-5740000,-123800000,136000000,22940000,52100000,-27770000,-362900000,151600000,845000000,-979000000,-252200000,749000000,-163600000,224600000,1008400,231100000,23940000,-20100000,16730000,2217000,21620000,22120000,-15360000,260100000,-17000000,244800000
2016/11/19,-12833600,-113800000,21700000,25900000,-7460000,29700000,31600000,32500000,-165700000,-183000000,-141600000,-631000000,289500000,-88100000,-202200000,49120000,280000000,22460000,30042000,-5210000,-79200000,103800000,19060000,10200000,-3100000,-341200000,134300000,120000000,-345000000,-13400000,789000000,-156100000,442500000,2478500,458600000,30270000,12300000,20010000,577000,1820000,21970000,-45760000,232400000,-5190000,491700000
2016/11/20,-26523800,-79200000,34300000,21800000,2510000,148700000,-26000000,60340000,-94300000,-222000000,-126800000,-354000000,286100000,-57200000,-144800000,70910000,184200000,39890000,26386000,-21680000,-37700000,83200000,16880000,5700000,27210000,-238000000,135500000,221000000,-308000000,182400000,527000000,-3900000,683400000,4582610,707500000,36120000,34300000,20270000,1364000,5350000,23310000,-54060000,204000000,4620000,749600000
2016/11/21,-41825900,-55000000,38400000,25200000,7860000,251200000,68700000,87790000,-11300000,-241000000,-34500000,-285000000,263100000,-37400000,-108100000,60200000,179500000,38300000,21687000,-9030000,300000,58300000,15250000,3300000,47040000,-200900000,129400000,444000000,-328000000,52200000,478000000,49400000,760300000,7091344,788300000,36270000,34500000,17000000,4036000,11510000,25290000,-47930000,183300000,9880000,831500000
2016/11/22,-45253500,-58900000,36800000,29700000,9590000,274400000,-27600000,89670000,19100000,-234000000,-10900000,-200000000,232900000,-22300000,-95900000,76980000,130300000,30610000,28146000,-19720000,21800000,36400000,14760000,22600000,51530000,-149300000,107000000,368000000,-205000000,50600000,354000000,98200000,723300000,7768006,750800000,35280000,26400000,17800000,6241000,9450000,28100000,-49230000,154700000,9120000,787500000
2016/11/23,-32595500,-62300000,21600000,27400000,4490000,277900000,-104400000,64500000,30600000,-234000000,-32400000,-210000000,183100000,-27100000,-93200000,62900000,80200000,16240000,26984000,-16750000,14700000,24000000,15560000,36800000,38420000,-101000000,71300000,260000000,-154000000,-9500000,266000000,89300000,488300000,5192640,508400000,26350000,10000000,16230000,5143000,6780000,25270000,-39410000,123900000,5860000,531900000
2016/11/24,-3339500,-73900000,-9900000,21200000,-4160000,268100000,-97000000,-930000,3100000,-262000000,-98600000,-278000000,114000000,-51000000,-124100000,41950000,16700000,-10860000,16212000,-20850000,-5000000,13000000,3730000,48900000,24090000,-62300000,21600000,175000000,-261000000,-64000000,162000000,44000000,62900000,1373200,71700000,11120000,-16200000,9430000,-63000,-7210000,5430000,-15240000,110900000,-14920000,78700000
2016/11/25,19746100,-92400000,-45900000,16600000,-13500000,223000000,119800000,-54950000,-35400000,-266000000,-181900000,-398000000,66500000,-77800000,-170100000,19340000,-20300000,-32890000,7932000,-21480000,-32900000,11100000,-3060000,60200000,7430000,-53000000,-14700000,276000000,-571000000,-123000000,131000000,-23200000,-330700000,-2024300,-334500000,120000,-37800000,4620000,-5334000,-18500000,-8350000,2910000,105500000,-28580000,-341900000
2016/11/26,41411000,-103800000,-66300000,10800000,-22780000,174000000,243800000,-84530000,-66500000,-252000000,-242500000,-493000000,53700000,-103200000,-200400000,6430000,-26200000,-43210000,4688000,-17270000,-61200000,19000000,-860000,69200000,-8940000,-60200000,-35400000,316000000,-745000000,-143700000,142000000,-71100000,-531100000,-3525710,-541400000,-9080000,-52300000,210000,-7476000,-17410000,-10880000,12800000,110200000,-32230000,-557700000
2016/11/27,35727580,-111200000,-67400000,11000000,-27290000,124800000,350100000,-81130000,-102000000,-241000000,-259300000,-583000000,64700000,-118600000,-209500000,-5660000,-14000000,-44000000,5640000,-10950000,-73600000,29500000,2730000,63300000,-18800000,-74600000,-25800000,371000000,-860000000,-174100000,214000000,-105500000,-597000000,-6648610,-615900000,-10060000,-56100000,840000,-5347000,-18750000,-5470000,8950000,119500000,-31700000,-640800000
2016/11/28,26740120,-125400000,-59600000,12900000,-28540000,111100000,269400000,-72670000,-126500000,-254000000,-226300000,-661000000,78400000,-125700000,-225400000,-1930000,5200000,-42230000,10400000,-10170000,-80900000,39100000,5550000,57200000,-23320000,-97700000,-10600000,282000000,-760000000,-249300000,307000000,-126300000,-591900000,-5978420,-612600000,-8120000,-55800000,400000,-3394000,-20200000,-980000,7700000,135200000,-32540000,-642100000
2016/11/29,18549200,-115400000,-48400000,19300000,-27850000,94900000,201500000,-57850000,-122500000,-233000000,-214100000,-688000000,105700000,-133600000,-217200000,1480000,32300000,-37690000,10190000,-10390000,-84300000,49900000,8170000,56100000,-24630000,-127200000,11800000,212000000,-659000000,-268200000,359000000,-133500000,-536000000,-4359270,-556300000,-2960000,-52800000,1560000,-1866000,-16900000,3890000,7680000,161900000,-30810000,-586600000
2016/11/30,11290300,-120600000,-36700000,22500000,-24650000,78000000,167300000,-41470000,-128900000,-220000000,-212000000,-678000000,135600000,-129600000,-223200000,15610000,70100000,-28980000,13440000,-16440000,-84900000,60100000,9730000,53000000,-23040000,-168000000,31800000,180000000,-610000000,-220800000,416000000,-147400000,-425300000,-2887590,-444900000,2750000,-43900000,4110000,-1039000,-13460000,7450000,1760000,179800000,-27430000,-474300000
2016/12/1,6603900,-118800000,-21700000,23400000,-21960000,82900000,185400000,-28670000,-134800000,-226000000,-195700000,-645000000,160300000,-122100000,-215300000,24770000,103000000,-19940000,15670000,-18300000,-82900000,66700000,10850000,48000000,-19910000,-197500000,47700000,222000000,-615000000,-167900000,457000000,-151400000,-284400000,-1681300,-298200000,7550000,-34700000,6650000,-464000,-11090000,9980000,-6550000,188300000,-24180000,-321200000
2016/12/2,2678600,-121400000,-8900000,22000000,-18340000,109400000,223700000,-18580000,-143600000,-257000000,-206400000,-584000000,182000000,-108500000,-211200000,31690000,119700000,-10230000,17830000,-18130000,-77700000,71000000,12440000,36600000,-13820000,-207500000,62800000,306000000,-690000000,-58400000,465000000,-135800000,-127900000,-889700,-136400000,11980000,-23500000,9600000,-414000,-10390000,12620000,-17150000,188500000,-18820000,-149300000
2016/12/3,-1300100,-108400000,2000000,22000000,-14160000,136500000,236500000,-3660000,-123200000,-259000000,-190300000,-526000000,206900000,-95400000,-194600000,28690000,131400000,-1880000,15330000,-12630000,-68600000,71000000,13090000,26400000,-5660000,-205400000,74400000,371000000,-686000000,-4600000,462000000,-107800000,38000000,60700,36300000,16410000,-13100000,12280000,-346000,-5980000,14220000,-24750000,192600000,-12190000,36700000
2016/12/4,-6867500,-92400000,14700000,21500000,-8230000,176300000,228600000,16020000,-99000000,-269000000,-151800000,-456000000,226000000,-78700000,-167900000,23520000,157100000,11140000,14720000,-1640000,-54700000,68200000,13590000,17500000,6240000,-208800000,84800000,434000000,-644000000,31200000,474000000,-77100000,242500000,1219400,248800000,22820000,2700000,15810000,47000,-120000,15780000,-31670000,190600000,-5530000,263400000
2016/12/5,-16531900,-73900000,28500000,21400000,10000,158200000,37800000,38320000,-76400000,-220000000,-149600000,-378000000,251100000,-58600000,-137900000,28350000,185500000,25480000,15050000,1980000,-36800000,66400000,14060000,17400000,21820000,-220000000,101200000,261000000,-397000000,121200000,485000000,-34000000,482500000,2924990,498300000,29980000,20800000,18670000,523000,2470000,18520000,-43360000,189000000,1590000,527700000
2016/12/6,-32155400,-58600000,38900000,24700000,6670000,198400000,83500000,69200000,-39200000,-218000000,-89700000,-259000000,265400000,-42600000,-113400000,56190000,200800000,33820000,17390000,-14380000,-13900000,63000000,15160000,3700000,40760000,-237600000,120700000,386000000,-376000000,162000000,461000000,-8700000,686800000,5288110,710600000,34560000,30800000,17890000,2239000,7650000,22610000,-48140000,188400000,7530000,749800000
2016/12/7,-50466300,-54700000,46500000,29500000,11280000,199300000,-56100000,90040000,-33300000,-209000000,-88800000,-219000000,288100000,-30600000,-104500000,70440000,218900000,37050000,20070000,-17930000,4200000,61100000,15570000,-600000,49930000,-247200000,141100000,270000000,-227000000,219800000,476000000,18300000,822600000,8314860,851900000,39210000,34700000,18460000,5161000,1510000,29870000,-63510000,189300000,12920000,894500000
2016/12/8,-51792600,-54900000,50000000,32600000,9000000,209100000,189400000,95970000,-17500000,-203000000,-83600000,-234000000,292600000,-29100000,-102100000,77200000,215700000,38650000,28410000,-15190000,4300000,60300000,18500000,6600000,43200000,-236000000,138300000,530000000,-462000000,188400000,485000000,26400000,832100000,8862440,863000000,40030000,31500000,20090000,7264000,4700000,35130000,-65540000,189800000,14220000,903100000
2016/12/9,-33733800,-68200000,31200000,26500000,-260000,175100000,229500000,57310000,-38000000,-200000000,-159700000,-301000000,232900000,-49100000,-115100000,64470000,168500000,23360000,29330000,-15940000,-13400000,54800000,16690000,12200000,25690000,-203300000,105600000,485000000,-580000000,145700000,438000000,-14500000,508600000,4983300,530300000,27590000,12200000,16710000,5035000,-2080000,27230000,-50410000,166500000,1870000,554300000
2016/12/10,6083000,-97500000,-33200000,19400000,-16150000,132000000,302000000,-36500000,-102000000,-236000000,-206200000,-490000000,130100000,-98100000,-181100000,28280000,86800000,-16420000,12550000,-18220000,-54400000,49700000,-900000,41700000,-1060000,-161400000,43900000,394000000,-745000000,-53700000,348000000,-80900000,-142400000,666600,-135600000,6970000,-27200000,8970000,-3181000,-23140000,-2280000,-14240000,148300000,-29410000,-132300000
2016/12/11,54190000,-142700000,-84600000,17000000,-31530000,85800000,163200000,-110420000,-162800000,-263000000,-156900000,-713000000,48800000,-147600000,-240200000,-1000000,39300000,-58630000,3840000,-14450000,-111600000,56600000,-2980000,72700000,-37630000,-151900000,-14000000,115000000,-591000000,-361800000,352000000,-178700000,-703900000,-4651700,-716000000,-14550000,-71800000,-3990000,-9657000,-21150000,-16160000,21370000,131500000,-46460000,-734200000
2016/12/12,66551990,-187100000,-97300000,18700000,-43210000,-24000000,450900000,-138310000,-271800000,-273000000,-174300000,-861000000,36500000,-177100000,-292400000,13360000,131400000,-81750000,14780000,-35560000,-153300000,75900000,4890000,64200000,-68160000,-288500000,-21000000,251000000,-913000000,-407800000,531000000,-394200000,-1001700000,-10194470,-1031100000,-24930000,-99400000,-4170000,-9856000,-25230000,-13260000,26310000,137600000,-50750000,-1070600000
2016/12/13,39408110,-209200000,-76500000,28200000,-43480000,-300000,694300000,-103720000,-280000000,-307000000,-179200000,-958000000,58400000,-183100000,-316400000,6210000,228500000,-77690000,18780000,-24740000,-165500000,99500000,11020000,44600000,-81160000,-379900000,22900000,546000000,-1199000000,-474800000,724000000,-480600000,-962800000,-9407090,-997900000,-16910000,-98300000,-4010000,-3314000,-22990000,-1590000,29470000,171400000,-53230000,-1050400000
2016/12/14,21835700,-229000000,-52400000,45500000,-38530000,328900000,838500000,-46360000,-228400000,-582000000,-63900000,-988000000,98200000,-193400000,-321700000,-28750000,267200000,-65290000,15830000,16450000,-177700000,125100000,19760000,103300000,-81170000,-387700000,64300000,1076000000,-1504000000,-634500000,716000000,-385600000,-813600000,-6227440,-850000000,-2310000,-87500000,2550000,1670000,3290000,12380000,36260000,213400000,-49440000,-905700000
2016/12/15,10146100,-223200000,-22400000,53800000,-29450000,386600000,561300000,3080000,-201400000,-601000000,76800000,-873000000,185300000,-182300000,-321900000,-45100000,357200000,-48880000,6030000,35650000,-177100000,151700000,25260000,73300000,-71010000,-449100000,121400000,921000000,-1099000000,-587200000,750000000,-376900000,-442700000,-2667000,-467200000,11280000,-68000000,10170000,3922000,26920000,20760000,26860000,265900000,-36620000,-505300000
2016/12/16,1282900,-196700000,-1900000,51600000,-23180000,343300000,800700000,21390000,-209300000,-556000000,13300000,-821000000,247100000,-158200000,-288300000,8840000,339200000,-28010000,19290000,7580000,-160300000,160000000,25820000,46700000,-53260000,-440700000,160000000,1157000000,-1347000000,-382900000,821000000,-294100000,-57600000,-732900,-67700000,19090000,-46200000,14840000,3064000,22900000,23270000,-1330000,273800000,-26220000,-84000000
2016/12/17,-4935200,-162800000,9400000,36100000,-17950000,16300000,189200000,11230000,-204400000,-216000000,-142000000,-718000000,275400000,-124100000,-253300000,24300000,277200000,-3090000,22890000,3460000,-129000000,140000000,22340000,400000,-36810000,-358000000,154600000,227000000,-543000000,-89000000,788000000,-221500000,177900000,651500,181400000,22370000,-19200000,16240000,633000,-1620000,22940000,-36970000,248500000,-17340000,191100000
2016/12/18,-10485700,-113700000,21800000,25400000,-11330000,95300000,196500000,34160000,-163500000,-248000000,-16300000,-623000000,282000000,-99600000,-202300000,40460000,333800000,20620000,25320000,-2900000,-98900000,118500000,19980000,-11300000,-15220000,-402900000,142900000,350000000,-450000000,-142000000,836000000,-248400000,388000000,2089000,402000000,28470000,7700000,19320000,937000,7270000,21660000,-37510000,238300000,-8720000,430200000
2016/12/19,-19516800,-90300000,32300000,23000000,-1940000,155600000,241300000,44780000,-97000000,-236000000,21800000,-380000000,281800000,-69700000,-158100000,52330000,254800000,32720000,20030000,-14130000,-62300000,97800000,17330000,3500000,11040000,-315900000,139100000,474000000,-443000000,2200000,586000000,-108100000,566800000,3527750,586300000,33370000,25300000,19960000,783000,2530000,22330000,-51060000,210200000,520000,623100000
2016/12/20,-32927860,-63300000,36700000,22400000,4780000,190600000,20500000,65730000,-64200000,-235000000,-115300000,-291000000,271900000,-47300000,-124800000,49630000,211800000,36180000,17390000,-7360000,-25400000,74700000,14470000,5500000,35240000,-247800000,133100000,311000000,-356000000,187100000,486000000,-10300000,680700000,5529680,705600000,34140000,31700000,17090000,1953000,3550000,22390000,-51170000,193100000,6560000,745700000
2016/12/21,-40436940,-56300000,35300000,27000000,9110000,235800000,-58600000,72890000,-16900000,-233000000,-36300000,-181000000,241100000,-29000000,-101500000,65810000,180900000,26990000,16820000,-21930000,3400000,50400000,12070000,8700000,45400000,-215700000,116300000,281000000,-199000000,137200000,380000000,17400000,670200000,6975320,695400000,33270000,25600000,15910000,4025000,1670000,23680000,-50500000,163400000,8810000,730900000
2016/12/22,-33623500,-56100000,28400000,28300000,7680000,278600000,-273700000,65850000,17000000,-247000000,40100000,-148000000,191900000,-21800000,-86400000,62290000,126200000,16990000,18370000,-22040000,12400000,29400000,10910000,21700000,40010000,-153800000,79900000,94000000,77000000,6000000,282000000,36700000,537900000,6039780,559500000,28180000,14300000,14880000,4769000,6180000,21570000,-38290000,130900000,7560000,586600000
2016/12/23,-17761900,-58900000,10400000,23100000,1570000,228800000,-196300000,31120000,3300000,-218000000,-23800000,-169000000,131600000,-30300000,-84500000,46250000,66000000,110000,14040000,-21810000,8000000,13800000,8370000,35200000,30610000,-99800000,40500000,75000000,-41000000,-8400000,186000000,30700000,260900000,2680170,273200000,16170000,-3900000,10740000,2648000,-180000,14010000,-25610000,97800000,430000,286400000
2016/12/24,3652600,-68400000,-17200000,19300000,-4340000,243600000,-275100000,-20250000,-11900000,-256000000,-48300000,-240000000,77500000,-49200000,-112800000,22760000,10600000,-20190000,4440000,-19990000,-9800000,7100000,-2110000,51300000,19870000,-62000000,3600000,-53000000,-30000000,-103400000,101000000,10300000,-79800000,-26300,-76600000,6330000,-22300000,7010000,-1978000,-12420000,-2710000,-5990000,89800000,-16710000,-76100000
2016/12/25,25727100,-83700000,-42800000,15900000,-11190000,228500000,-178300000,-62490000,-35200000,-271000000,-120000000,-307000000,51100000,-69400000,-148300000,9080000,-26900000,-38420000,-2210000,-20680000,-33700000,8600000,-5150000,58500000,6490000,-45400000,-23100000,-24000000,-217000000,-109700000,52000000,-26600000,-344500000,-1982300,-349100000,-2940000,-40600000,1880000,-5984000,-18220000,-10790000,5760000,88900000,-24700000,-357700000
2016/12/26,35939500,-94300000,-59000000,14400000,-18180000,180700000,82000000,-79730000,-66100000,-258000000,-216000000,-375000000,52000000,-89900000,-175700000,2890000,-32500000,-47680000,-3700000,-22290000,-54600000,15700000,-2450000,55200000,-5520000,-55700000,-33200000,166000000,-562000000,-53700000,60000000,-74100000,-494400000,-3778580,-505600000,-8630000,-53100000,800000,-6900000,-20700000,-11020000,7950000,97700000,-26900000,-522100000
2016/12/27,30941200,-101900000,-60800000,12900000,-24020000,152200000,67100000,-76950000,-87000000,-254000000,-267400000,-473000000,56500000,-106200000,-186700000,-3370000,-13900000,-45860000,2120000,-16640000,-68400000,28300000,1200000,57400000,-13300000,-79600000,-22800000,121000000,-597000000,-79700000,141000000,-106600000,-561400000,-6767844.6,-580000000,-9540000,-55900000,620000,-4788000,-20620000,-5100000,6480000,105700000,-28830000,-604500000
2016/12/28,24879700,-111000000,-55200000,15900000,-26950000,130500000,289700000,-73750000,-116100000,-263000000,-228500000,-593000000,79500000,-123300000,-205900000,-7060000,5200000,-46310000,2250000,-11860000,-83400000,42200000,3180000,52800000,-23870000,-102300000,-5300000,319000000,-792000000,-189000000,248000000,-130600000,-590800000,-5232845.4,-611400000,-8190000,-58500000,-530000,-3321000,-22930000,-2630000,8430000,135700000,-30270000,-642100000
2016/12/29,17482300,-138600000,-44100000,19100000,-27660000,102600000,374500000,-61240000,-143700000,-263000000,-279900000,-662000000,98200000,-128600000,-235400000,-3940000,46600000,-37750000,8300000,-7380000,-92500000,58000000,6950000,54900000,-29580000,-143200000,19300000,387000000,-930000000,-164700000,353000000,-151800000,-558800000,-4412000,-581400000,-3200000,-52800000,1070000,-1788000,-20490000,3170000,7110000,154900000,-30200000,-615000000
2016/12/30,10898600,-125700000,-31400000,26200000,-25030000,113700000,271400000,-42200000,-165200000,-292000000,-140700000,-695000000,146600000,-134700000,-227600000,13210000,86600000,-31480000,12090000,-15050000,-103200000,77700000,9660000,48100000,-32980000,-192000000,48000000,317000000,-715000000,-262200000,445000000,-172500000,-431200000,-2402330,-450700000,3450000,-46800000,4130000,-837000,-14240000,7800000,1370000,191800000,-27960000,-482700000
2016/12/31,5127300,-153900000,-14900000,24200000,-21690000,80500000,359100000,-29390000,-188700000,-276000000,-167100000,-667000000,177200000,-122200000,-247500000,47010000,165900000,-16440000,21160000,-34050000,-107700000,94500000,12420000,24300000,-32670000,-286300000,78400000,394000000,-809000000,-146700000,589000000,-243500000,-244600000,-1618200,-258700000,10180000,-31000000,8170000,-581000,-14310000,12410000,-14740000,194400000,-22620000,-281400000
2017/1/1,-472000,-139200000,4000000,28900000,-18460000,62900000,361600000,-5590000,-192400000,-256000000,-166600000,-596000000,233100000,-119900000,-228800000,50260000,251100000,-7140000,18290000,-32250000,-109100000,111100000,15750000,9000000,-27680000,-364300000,114200000,418000000,-785000000,-4500000,653000000,-268100000,13300000,-208700,9400000,16820000,-21400000,12360000,-125000,-5850000,16550000,-24940000,223800000,-16120000,5200000
2017/1/2,-5252300,-126600000,15200000,32700000,-13490000,61100000,427900000,17260000,-185500000,-242000000,-329500000,-484000000,272700000,-112700000,-223000000,25600000,294200000,-920000,-12940000,-33560000,-104000000,112300000,17250000,42800000,-21490000,-402800000,122400000,516000000,-996000000,311800000,572000000,-243400000,177200000,691800,179900000,22640000,-12500000,15640000,673000,4260000,18290000,-27080000,249900000,-11480000,188500000
2017/1/3,-12928900,-107100000,28800000,34800000,-5560000,33600000,593600000,35780000,-167600000,-189000000,-324600000,-509000000,307800000,-99800000,-194300000,5850000,319200000,10790000,-24550000,-17840000,-91800000,114600000,17770000,17000000,-4300000,-406500000,142600000,686000000,-1098000000,308500000,687000000,-213100000,410500000,2289300,423800000,29870000,3500000,18730000,816000,6160000,20750000,-38440000,259100000,-4590000,450600000
2017/1/4,-28302400,-89700000,43400000,36100000,2980000,-25600000,519900000,51440000,-213200000,-168000000,-265400000,-466000000,349200000,-80400000,-162900000,7610000,380200000,26460000,-18480000,-3420000,-71600000,119400000,17030000,7800000,18470000,-440900000,174800000,581000000,-938000000,390500000,767000000,-175400000,686900000,4492590,709000000,37300000,22400000,19180000,799000,-3990000,24780000,-63800000,257800000,5220000,748200000
2017/1/5,-48346400,-91500000,51800000,38100000,8130000,-23800000,278700000,71820000,-250900000,-203000000,-183300000,-465000000,370500000,-67000000,-157100000,7800000,399000000,31880000,-13590000,11220000,-49600000,114900000,15090000,-3700000,32920000,-433200000,194700000,366000000,-649000000,369400000,822000000,-132400000,845400000,7935960,875500000,40160000,28700000,17050000,3030000,-13540000,29540000,-80270000,253800000,12640000,921000000
2017/1/6,-54389700,-74700000,52400000,41700000,10050000,1300000,270200000,80350000,-243100000,-220000000,-130500000,-484000000,368100000,-58800000,-139000000,7010000,389000000,30840000,-3100000,24410000,-38400000,107700000,14640000,-9800000,31730000,-399100000,192200000,389000000,-606000000,288300000,831000000,-106800000,864500000,9196950,896800000,42340000,27300000,19350000,5418000,-13130000,32790000,-81480000,249600000,13950000,940300000
2017/1/7,-43727500,-92000000,44500000,37100000,5550000,40300000,305100000,66590000,-231900000,-255000000,-79300000,-437000000,331500000,-57800000,-161700000,14170000,314700000,21550000,7000000,18560000,-47100000,98700000,17660000,-5600000,14580000,-331700000,160900000,441000000,-627000000,226500000,683000000,-103500000,668300000,6887400,694700000,34230000,15000000,18450000,5632000,-9190000,32300000,-69640000,231400000,11970000,725200000
2017/1/8,-2335000,-112600000,-3900000,28100000,-6590000,54600000,263500000,-17120000,-218400000,-269000000,-178700000,-509000000,210900000,-90800000,-197800000,-12720000,202400000,-15180000,-7310000,10950000,-76100000,85400000,970000,24300000,-8930000,-253600000,96000000,308000000,-709000000,103400000,495000000,-129000000,75800000,1783400,87700000,12570000,-20700000,8150000,-1443000,-21330000,3690000,-27820000,196300000,-16640000,97200000
